policy_id,age,gender,marital_status,education,occupation,region,driving_experience_years,previous_accidents,traffic_violations,vehicle_year,vehicle_age,vehicle_make,vehicle_type,fuel_type,annual_mileage,engine_cc,coverage_type,annual_premium,deductible,policy_duration_years,multi_policy,credit_score,annual_income,num_dependents,claim_filed
36,46,Male,Single,PhD,Retired,Rural,26,0,0,2023,1,Audi,Sedan,Electric,23882,1000,Basic,1570.35,1500,15,1,485,168440,1,0
37,23,Female,Divorced,PhD,Retired,Suburban,0,0,0,2018,6,Chevrolet,Hatchback,Hybrid,31658,2000,Basic,1528.03,1000,5,1,418,120952,3,0
38,18,Female,Widowed,High School,Self-Employed,Rural,0,1,0,2019,5,Toyota,SUV,Electric,22996,1200,Standard,1482.91,1500,2,0,545,56517,1,1
39,32,Male,Widowed,High School,Self-Employed,Suburban,9,0,1,2018,6,Chevrolet,Pickup,Diesel,19967,1800,Standard,814.65,2000,9,0,371,87416,2,0
40,39,Female,Single,Master,Retired,Rural,17,4,0,2009,15,Chevrolet,Coupe,Hybrid,16309,1500,Comprehensive,1318.47,1000,14,0,544,164893,1,0
41,44,Male,Divorced,PhD,Student,Suburban,21,1,1,2009,15,Chevrolet,Sedan,Diesel,21459,3500,Standard,2648.19,1500,2,1,315,52789,1,0
42,27,Male,Widowed,Master,Retired,Rural,4,0,0,2015,9,Nissan,Pickup,Electric,25538,2000,Standard,2655.43,250,10,0,540,180455,2,0
43,32,Male,Widowed,High School,Employed,Suburban,13,1,2,2006,18,Hyundai,Sedan,Electric,16746,1500,Basic,959.33,1500,10,0,474,60893,0,0
44,57,Male,Widowed,None,Self-Employed,Urban,36,1,0,2005,19,Chevrolet,Hatchback,Diesel,7420,1800,Standard,2966.66,1000,11,1,556,134756,3,1
45,48,Male,Married,PhD,Unemployed,Suburban,26,0,1,2005,19,Volkswagen,Hatchback,Petrol,23544,2500,Comprehensive,2928.73,2000,12,1,593,75324,2,0
46,58,Male,Divorced,Bachelor,Employed,Rural,35,0,2,2006,18,Audi,Hatchback,Diesel,7953,3000,Standard,2318.2,500,4,0,674,154159,2,1
47,70,Female,Divorced,Master,Employed,Suburban,52,0,3,2017,7,Nissan,Hatchback,Petrol,30909,1500,Standard,1748.75,1500,6,1,690,182391,4,1
48,19,Female,Married,High School,Student,Rural,0,1,0,2006,18,Toyota,Hatchback,Hybrid,8805,1200,Comprehensive,666.29,1500,6,1,458,123759,2,0
49,57,Female,Divorced,High School,Retired,Urban,36,0,0,2016,8,Honda,Minivan,Electric,22841,3000,Comprehensive,1268.42,1500,5,0,425,134201,0,1
50,19,Male,Divorced,Bachelor,Self-Employed,Rural,0,0,1,2011,13,Audi,SUV,Diesel,15766,2000,Comprehensive,307.66,500,3,1,478,43816,2,1
51,68,Male,Divorced,High School,Self-Employed,Suburban,50,0,0,2008,16,Honda,Pickup,Hybrid,30494,1500,Comprehensive,594.45,2000,4,0,833,94070,1,0
52,21,Female,Widowed,PhD,Employed,Suburban,0,2,0,2007,17,Hyundai,Coupe,Diesel,7152,1200,Comprehensive,2009.31,2000,12,1,690,171602,2,1
53,24,Male,Married,PhD,Student,Urban,3,0,0,2018,6,Honda,Hatchback,Hybrid,15240,2000,Standard,2874.7,1500,2,0,387,39439,1,0
54,41,Male,Single,None,Unemployed,Rural,21,1,0,2018,6,Toyota,Hatchback,Electric,16522,1200,Comprehensive,874.39,1500,4,0,658,160821,1,0
55,54,Male,Widowed,None,Unemployed,Rural,31,1,0,2013,11,Toyota,SUV,Electric,28026,2000,Standard,1247.76,500,14,0,710,33241,0,0
56,19,Male,Married,PhD,Student,Suburban,0,0,0,2015,9,Audi,Coupe,Petrol,33945,1000,Basic,2336.98,250,11,0,578,131159,2,0
57,46,Female,Divorced,Bachelor,Unemployed,Urban,26,0,0,2023,1,Chevrolet,Coupe,Electric,6488,1500,Comprehensive,447.91,500,5,0,440,81982,0,1
58,45,Male,Married,PhD,Unemployed,Rural,26,0,2,2016,8,Honda,Pickup,Petrol,19294,1000,Basic,2627.7,2000,7,1,727,90894,0,1
59,69,Female,Divorced,High School,Student,Urban,50,0,0,2007,17,Volkswagen,Hatchback,Electric,12260,1500,Basic,506.22,250,9,0,657,107038,2,0
60,70,Male,Married,High School,Self-Employed,Suburban,51,0,0,2007,17,Ford,Minivan,Hybrid,20202,2000,Comprehensive,1512.04,2000,11,1,623,54572,1,0
61,58,Female,Divorced,None,Employed,Suburban,36,0,0,2006,18,Toyota,Hatchback,Electric,7514,2000,Basic,1960.52,2000,7,1,342,132894,3,0
62,30,Female,Widowed,None,Self-Employed,Urban,9,0,2,2015,9,Honda,Coupe,Diesel,6282,1500,Standard,2975.66,2000,9,0,672,112740,3,0
63,67,Female,Single,Master,Employed,Suburban,49,1,0,2013,11,Audi,SUV,Electric,7670,1800,Basic,2775.22,1000,11,1,432,170986,2,1
64,59,Female,Married,None,Employed,Rural,36,0,0,2016,8,Mercedes,SUV,Diesel,16197,3000,Standard,818.41,500,3,0,602,41513,2,0
65,65,Male,Divorced,None,Self-Employed,Rural,44,0,0,2024,0,Ford,Minivan,Hybrid,6431,1500,Comprehensive,2242.88,1500,10,1,759,76342,2,0
66,69,Female,Married,Master,Unemployed,Suburban,48,1,1,2021,3,Nissan,Pickup,Diesel,31767,1200,Comprehensive,673.68,1000,1,1,680,160369,4,0
67,51,Male,Divorced,High School,Self-Employed,Suburban,30,2,0,2018,6,Honda,SUV,Hybrid,33987,1500,Basic,1420.22,1500,9,1,541,116231,4,1
68,24,Female,Married,Bachelor,Employed,Suburban,3,1,0,2020,4,Chevrolet,Coupe,Petrol,34683,1000,Standard,882.27,500,9,1,413,90524,0,1
69,58,Female,Single,High School,Student,Rural,36,0,1,2012,12,Ford,Hatchback,Hybrid,5051,1800,Basic,1840.79,500,11,0,836,109530,0,0
70,50,Male,Widowed,PhD,Employed,Rural,29,4,0,2005,19,Hyundai,Sedan,Electric,12901,2000,Comprehensive,579.89,2000,12,1,436,26622,1,1
71,71,Female,Widowed,Bachelor,Self-Employed,Urban,48,1,0,2014,10,BMW,Sedan,Diesel,34025,1000,Standard,1691.54,2000,8,1,337,184581,0,1
72,73,Female,Divorced,High School,Retired,Suburban,52,1,2,2017,7,Hyundai,SUV,Hybrid,27677,1800,Comprehensive,1020.15,250,12,1,380,127881,2,0
73,52,Female,Divorced,High School,Employed,Suburban,29,0,0,2018,6,Ford,Minivan,Hybrid,16519,1800,Comprehensive,2649.1,1000,10,1,581,182633,4,0
74,22,Female,Divorced,None,Self-Employed,Urban,3,2,1,2019,5,Toyota,SUV,Petrol,12733,2000,Standard,1277.81,2000,1,0,760,112246,1,0
75,54,Male,Divorced,PhD,Retired,Rural,34,0,0,2010,14,Chevrolet,Coupe,Hybrid,34934,1800,Standard,2392.4,1500,4,1,802,67475,0,0
76,46,Male,Widowed,High School,Retired,Rural,26,1,1,2014,10,Mercedes,SUV,Diesel,31007,1500,Basic,627.68,500,13,0,542,144504,0,0
77,41,Female,Married,None,Employed,Urban,21,0,1,2020,4,Nissan,Pickup,Hybrid,31979,1800,Basic,2925.43,250,8,1,829,105312,0,0
78,53,Male,Married,PhD,Unemployed,Urban,35,0,0,2010,14,Hyundai,Minivan,Diesel,16338,3000,Comprehensive,2716.3,250,5,0,581,47812,2,0
79,23,Male,Married,Bachelor,Unemployed,Rural,1,0,3,2006,18,Toyota,Sedan,Petrol,26019,2000,Standard,2058.05,2000,7,0,809,179407,2,0
80,37,Female,Married,PhD,Retired,Suburban,19,1,0,2018,6,Chevrolet,Pickup,Diesel,16147,1800,Standard,2626.01,1000,12,1,708,49279,2,0
81,24,Female,Married,PhD,Employed,Suburban,3,0,0,2014,10,Volkswagen,Coupe,Hybrid,13135,3500,Basic,2496.39,2000,12,1,494,56770,1,0
82,49,Female,Widowed,High School,Employed,Suburban,27,0,0,2023,1,Hyundai,Sedan,Petrol,14219,1800,Comprehensive,2115.81,1000,9,0,410,127965,0,0
83,41,Female,Divorced,High School,Student,Urban,19,1,0,2014,10,Honda,Pickup,Hybrid,30047,1800,Comprehensive,2137.08,250,3,0,703,112831,3,1
84,66,Male,Married,None,Unemployed,Suburban,44,0,0,2015,9,Chevrolet,Coupe,Hybrid,9880,1800,Comprehensive,677.41,2000,6,0,702,176611,2,0
85,39,Female,Divorced,PhD,Employed,Suburban,19,1,5,2023,1,Mercedes,Minivan,Petrol,24559,1800,Comprehensive,2413.84,2000,10,0,352,167967,1,1
86,67,Female,Married,Bachelor,Employed,Rural,44,0,0,2015,9,Volkswagen,SUV,Hybrid,27626,1500,Comprehensive,2392.43,1500,14,0,441,150969,0,1
87,51,Female,Divorced,Bachelor,Student,Rural,31,0,1,2013,11,Audi,Pickup,Diesel,13077,1500,Standard,907.14,1000,13,1,512,195942,2,0
88,40,Female,Divorced,High School,Unemployed,Rural,18,0,5,2016,8,Ford,Hatchback,Petrol,14425,3000,Basic,1235.18,1500,11,1,790,71095,0,0
89,53,Female,Married,High School,Unemployed,Rural,31,0,0,2021,3,BMW,Minivan,Diesel,6720,1200,Standard,2236.87,250,11,0,305,159271,4,1
90,74,Female,Widowed,Bachelor,Retired,Suburban,54,1,2,2007,17,Audi,SUV,Petrol,34924,3000,Standard,2682.06,500,15,0,706,144861,0,0
91,73,Female,Single,High School,Retired,Rural,51,0,5,2014,10,Chevrolet,Minivan,Hybrid,34139,3000,Comprehensive,1563.66,500,13,0,638,57596,2,0
92,63,Male,Single,Master,Retired,Rural,40,1,0,2017,7,Volkswagen,Coupe,Electric,7842,1500,Basic,798.91,500,8,1,554,16790,0,1
93,39,Female,Single,Master,Retired,Rural,20,0,0,2014,10,Ford,Pickup,Electric,27619,1200,Standard,1292.37,500,4,0,789,55156,1,0
94,41,Female,Widowed,None,Self-Employed,Urban,18,1,2,2007,17,Nissan,Pickup,Electric,7559,3000,Basic,466.75,2000,15,0,849,54282,0,0
95,46,Male,Married,None,Student,Urban,24,0,0,2009,15,Nissan,Pickup,Hybrid,23478,1000,Standard,2116.47,1000,12,0,705,81704,3,0
96,55,Male,Single,PhD,Retired,Rural,37,0,0,2007,17,Chevrolet,Sedan,Electric,18397,1200,Basic,2367.73,1500,6,1,759,113958,1,0
97,60,Male,Divorced,High School,Self-Employed,Rural,39,0,1,2012,12,Toyota,Sedan,Electric,20171,2000,Comprehensive,1445.15,1500,14,0,553,135750,1,0
98,74,Male,Single,PhD,Unemployed,Urban,55,0,0,2006,18,Chevrolet,Coupe,Petrol,13019,2000,Standard,1485.2,2000,4,0,443,147093,4,1
99,54,Female,Divorced,Bachelor,Retired,Urban,31,0,0,2013,11,Toyota,Coupe,Diesel,25512,2000,Comprehensive,1638.18,1000,11,1,837,98554,2,0
100,37,Female,Married,None,Student,Urban,18,0,1,2019,5,Toyota,Coupe,Hybrid,18648,1800,Basic,1348.73,1000,4,1,380,132908,3,1
101,30,Male,Divorced,PhD,Unemployed,Rural,12,2,0,2023,1,Nissan,SUV,Hybrid,11844,2500,Standard,1118.61,250,4,0,420,140546,3,0
102,63,Male,Widowed,Bachelor,Unemployed,Suburban,43,0,1,2016,8,Mercedes,Hatchback,Electric,21803,2500,Standard,566.24,1500,13,1,508,112178,1,1
103,65,Male,Single,Master,Unemployed,Rural,43,1,0,2011,13,Hyundai,SUV,Hybrid,23670,2500,Standard,1786.73,1000,5,1,802,135803,0,0
104,28,Male,Widowed,Bachelor,Unemployed,Rural,10,0,2,2007,17,Toyota,Sedan,Hybrid,9505,2500,Basic,483.51,500,1,0,817,134540,1,0
105,60,Female,Widowed,High School,Employed,Rural,38,0,0,2013,11,Nissan,Hatchback,Petrol,21456,2500,Comprehensive,1462.55,500,2,0,836,54032,0,0
106,34,Female,Divorced,PhD,Employed,Suburban,13,0,0,2012,12,Mercedes,Minivan,Petrol,26421,3500,Comprehensive,2350.88,250,7,1,686,159887,1,0
107,62,Male,Single,PhD,Student,Rural,42,1,2,2008,16,Nissan,Sedan,Diesel,11927,3000,Comprehensive,2696.4,1500,5,0,376,194418,4,0
108,54,Male,Married,Master,Employed,Urban,32,0,2,2017,7,Honda,Hatchback,Diesel,23479,1500,Standard,2127.99,2000,6,1,443,195698,2,0
109,40,Male,Single,PhD,Self-Employed,Urban,20,1,1,2024,0,Volkswagen,Hatchback,Petrol,25778,1500,Standard,1624.63,1000,9,1,742,63690,2,0
110,23,Female,Married,High School,Employed,Suburban,4,0,2,2009,15,Volkswagen,Hatchback,Electric,8491,1200,Standard,1500.79,1000,2,0,389,64123,1,0
111,50,Female,Single,High School,Employed,Suburban,28,0,1,2015,9,Volkswagen,Sedan,Electric,18559,1500,Basic,2257.08,2000,15,0,833,59455,2,1
112,35,Female,Married,High School,Self-Employed,Suburban,15,0,0,2007,17,Hyundai,Hatchback,Diesel,28622,2000,Comprehensive,1965.01,1500,2,0,611,16774,4,0
113,57,Female,Divorced,PhD,Retired,Suburban,34,4,0,2015,9,Audi,Minivan,Diesel,20696,1500,Standard,2915.56,1000,12,1,548,100429,1,0
114,43,Female,Single,None,Self-Employed,Rural,21,0,1,2005,19,Chevrolet,Minivan,Diesel,19367,2000,Comprehensive,486.73,1500,11,1,442,181025,1,1
115,45,Female,Single,PhD,Unemployed,Suburban,23,0,1,2018,6,Nissan,Sedan,Electric,27991,2500,Comprehensive,1903.31,250,2,0,663,58604,2,1
116,61,Female,Divorced,PhD,Employed,Urban,43,0,1,2021,3,Nissan,Coupe,Diesel,19607,1500,Standard,2385.32,2000,12,0,653,21438,1,0
117,23,Male,Married,Master,Retired,Suburban,2,1,1,2016,8,Chevrolet,Sedan,Hybrid,28658,2000,Standard,481.37,250,13,0,323,104935,2,0
118,28,Male,Married,None,Self-Employed,Suburban,6,0,0,2017,7,Ford,SUV,Hybrid,17962,1000,Comprehensive,2684.36,1500,10,1,698,16166,2,0
119,66,Male,Single,None,Self-Employed,Suburban,46,0,0,2020,4,Nissan,Minivan,Electric,24561,1500,Standard,1884.91,1000,6,1,476,191577,2,0
120,57,Male,Married,Master,Employed,Urban,37,0,0,2009,15,Nissan,Pickup,Hybrid,24543,1200,Standard,1442.2,1500,11,0,470,143356,0,1
121,57,Male,Divorced,High School,Student,Urban,38,2,3,2021,3,Chevrolet,Pickup,Hybrid,18619,2000,Standard,1619.49,250,10,0,525,91569,0,1
122,67,Female,Widowed,None,Unemployed,Urban,45,0,1,2016,8,Nissan,Sedan,Hybrid,22902,1500,Standard,576.52,500,5,0,760,83895,1,0
123,46,Male,Married,Bachelor,Unemployed,Rural,26,2,1,2018,6,Ford,Coupe,Diesel,30717,1500,Basic,2474.69,2000,6,1,472,99843,4,1
124,72,Male,Married,PhD,Employed,Suburban,49,0,2,2012,12,Ford,Minivan,Electric,32147,1500,Comprehensive,1360.29,500,10,1,724,113349,1,0
125,74,Male,Widowed,None,Retired,Rural,54,0,0,2023,1,Toyota,Minivan,Petrol,28951,3500,Comprehensive,2093.19,1000,14,0,847,119258,0,0
126,31,Female,Divorced,Master,Retired,Suburban,9,1,1,2020,4,Hyundai,Minivan,Petrol,6505,1200,Standard,343.96,500,8,1,300,127145,0,0
127,26,Female,Married,Master,Employed,Rural,6,0,0,2010,14,Toyota,Pickup,Electric,28789,2000,Basic,1458.92,250,12,0,301,70947,1,1
128,61,Female,Single,High School,Retired,Urban,40,1,0,2012,12,Volkswagen,Sedan,Petrol,8381,1500,Standard,670.25,500,11,0,370,154069,2,0
129,28,Female,Divorced,Bachelor,Self-Employed,Suburban,6,1,2,2007,17,Honda,SUV,Petrol,24319,2000,Standard,2900.77,1000,13,0,553,87605,2,1
130,64,Female,Single,Master,Self-Employed,Rural,42,0,1,2014,10,Toyota,SUV,Hybrid,17644,1200,Standard,2022.82,250,9,0,669,97961,0,0
131,54,Female,Divorced,None,Self-Employed,Suburban,36,0,0,2013,11,BMW,Sedan,Petrol,30863,1500,Standard,1997.14,2000,13,1,733,198975,1,0
132,52,Male,Divorced,High School,Retired,Urban,30,3,5,2009,15,Nissan,Hatchback,Hybrid,24216,2000,Comprehensive,2138.85,250,5,1,544,30179,0,0
133,25,Female,Single,Master,Self-Employed,Urban,7,1,1,2010,14,Chevrolet,Hatchback,Electric,10471,1500,Comprehensive,2409.03,1000,12,0,330,102821,3,1
134,63,Male,Widowed,PhD,Unemployed,Suburban,45,0,1,2016,8,Ford,Hatchback,Petrol,34303,1800,Comprehensive,611.4,2000,1,0,312,79107,0,0
135,27,Male,Single,None,Student,Urban,7,0,3,2015,9,Mercedes,Sedan,Electric,8912,1800,Basic,784.23,2000,1,1,370,136921,3,0
136,37,Female,Single,None,Student,Urban,17,0,1,2014,10,Audi,SUV,Hybrid,17067,1800,Standard,2994.03,500,12,0,454,16671,4,1
137,58,Male,Divorced,High School,Student,Rural,35,0,0,2012,12,Volkswagen,Pickup,Petrol,9665,2000,Basic,418.53,500,15,1,681,135182,4,1
138,26,Female,Single,None,Unemployed,Urban,5,1,0,2014,10,Mercedes,Hatchback,Hybrid,27961,2500,Standard,1158.76,1000,4,0,507,50680,2,0
139,27,Male,Married,PhD,Student,Suburban,6,0,0,2011,13,Chevrolet,Hatchback,Hybrid,13683,2500,Basic,725.56,1000,14,0,520,100929,0,0
140,40,Female,Single,Master,Retired,Urban,22,3,2,2022,2,Nissan,SUV,Petrol,20140,1200,Basic,627.92,250,14,0,433,66939,3,1
141,59,Male,Divorced,High School,Employed,Urban,40,2,0,2009,15,Honda,Hatchback,Petrol,6399,3000,Basic,753.57,2000,7,1,808,22728,1,0
142,40,Male,Married,Master,Retired,Suburban,21,0,1,2012,12,Mercedes,Pickup,Hybrid,33926,1800,Basic,536.85,1500,3,1,504,183467,3,0
143,58,Male,Widowed,Master,Student,Rural,37,0,1,2015,9,Volkswagen,Hatchback,Diesel,5854,1500,Basic,379.12,1000,1,1,842,108698,2,0
144,28,Male,Married,Bachelor,Retired,Rural,5,0,5,2012,12,Audi,Pickup,Electric,32499,3500,Basic,775.47,2000,6,1,328,199405,2,0
145,54,Male,Married,PhD,Unemployed,Suburban,35,0,0,2012,12,Audi,SUV,Petrol,22250,1800,Standard,2778.32,500,13,0,648,61520,3,0
146,38,Male,Single,Bachelor,Unemployed,Rural,19,1,2,2016,8,Honda,Hatchback,Hybrid,24202,1200,Standard,1171.03,500,12,1,798,185178,1,0
147,53,Female,Married,None,Self-Employed,Suburban,33,1,0,2010,14,Toyota,Minivan,Hybrid,32877,3500,Comprehensive,387.43,2000,6,0,406,145071,0,0
148,33,Female,Divorced,Bachelor,Employed,Rural,10,1,2,2019,5,Toyota,Hatchback,Diesel,13176,2000,Standard,992.98,250,12,0,349,116171,1,0
149,28,Female,Widowed,PhD,Retired,Rural,7,0,0,2023,1,BMW,SUV,Hybrid,7415,2000,Basic,1096.25,1000,5,0,375,104602,0,0
150,64,Male,Single,Master,Unemployed,Rural,43,1,0,2010,14,Audi,Pickup,Diesel,6754,1200,Basic,2930.88,1500,12,1,588,92961,0,1
151,71,Female,Married,High School,Retired,Urban,50,0,2,2024,0,Chevrolet,SUV,Petrol,5843,1500,Comprehensive,1087.89,250,8,0,615,119193,1,0
152,34,Male,Widowed,Bachelor,Retired,Suburban,14,0,0,2019,5,Chevrolet,Hatchback,Diesel,32429,1500,Basic,708.05,250,2,1,723,169593,0,1
153,51,Female,Widowed,None,Self-Employed,Suburban,31,0,2,2006,18,Nissan,Coupe,Diesel,8941,3000,Standard,766.77,500,4,0,429,26187,1,0
154,45,Male,Married,None,Retired,Suburban,22,2,0,2017,7,Nissan,Pickup,Electric,33069,1500,Standard,2776.34,250,13,1,415,123643,0,0
155,55,Male,Single,None,Employed,Suburban,33,2,2,2013,11,Volkswagen,Minivan,Hybrid,23744,1800,Basic,764.94,1500,3,1,339,118754,3,1
156,65,Female,Divorced,Master,Employed,Suburban,45,0,2,2008,16,BMW,SUV,Electric,29370,1800,Standard,1027.43,1500,10,0,492,130793,0,0
157,65,Female,Divorced,High School,Unemployed,Urban,47,0,1,2009,15,Nissan,Coupe,Petrol,10693,1200,Basic,2559.84,500,1,1,351,109470,2,1
158,50,Female,Single,High School,Self-Employed,Suburban,29,1,0,2020,4,Audi,Coupe,Electric,16280,1200,Standard,2322.2,250,5,0,695,28015,0,0
159,31,Male,Married,Bachelor,Retired,Rural,10,0,2,2005,19,Chevrolet,SUV,Diesel,24698,2500,Basic,981.45,1000,12,1,733,113690,3,0
160,31,Female,Divorced,None,Unemployed,Suburban,9,0,1,2016,8,Nissan,Minivan,Electric,14780,2000,Standard,472.36,1000,11,1,583,83458,2,0
161,59,Female,Married,Bachelor,Unemployed,Urban,41,2,2,2024,0,Volkswagen,Minivan,Electric,27307,1200,Basic,2069.58,1000,5,1,714,116783,2,0
162,54,Male,Divorced,Bachelor,Unemployed,Rural,33,2,1,2021,3,Mercedes,SUV,Diesel,14626,1200,Basic,2300.48,2000,13,0,643,186556,0,1
163,37,Female,Divorced,Master,Retired,Rural,17,0,0,2006,18,Audi,Coupe,Petrol,20473,2500,Comprehensive,623.5,1500,9,1,723,29172,3,1
164,39,Female,Widowed,Bachelor,Retired,Rural,20,1,0,2010,14,Hyundai,Minivan,Petrol,5154,1800,Basic,2355.22,500,10,0,801,38079,0,0
165,45,Female,Widowed,PhD,Student,Urban,27,0,1,2005,19,Hyundai,Coupe,Diesel,5587,2000,Comprehensive,2280.73,500,12,1,619,48798,0,0
166,37,Male,Single,High School,Retired,Suburban,16,1,1,2015,9,Volkswagen,Minivan,Diesel,16230,3500,Standard,1269.98,500,3,1,319,74878,0,0
167,31,Male,Married,High School,Retired,Rural,8,1,0,2013,11,Nissan,Coupe,Petrol,24461,3500,Comprehensive,591.91,250,1,0,726,131474,1,0
168,48,Male,Married,High School,Retired,Suburban,25,0,1,2024,0,Audi,Minivan,Diesel,18724,2500,Basic,1681.28,2000,2,1,416,42856,1,0
