Claim_ID,Age,Gender,Policy_Type,Vehicle_Type,Accident_Type,Annual_Premium,Claim_Amount,Police_Report,Witness_Present,Past_Claims,Days_To_Claim,Incident_Location,Claim_Status
57814,45,Male,Gold,SUV,Total Loss,36316,569873,Yes,Yes,1,41,Rural,0
57788,25,Male,Premium,Hatchback,Total Loss,16533,77691,No,Yes,4,17,Rural,0
54961,40,Male,Gold,SUV,Minor,72320,589495,No,No,5,56,Urban,0
56049,65,Female,Basic,Sedan,Minor,78674,533428,Yes,No,0,27,Urban,0
53050,52,Female,Premium,Sedan,Minor,24152,596598,No,Yes,0,17,Rural,0
51547,74,Female,Basic,SUV,Minor,50902,250971,No,Yes,2,44,Rural,0
56144,67,Male,Basic,SUV,Major,41633,263466,No,No,4,2,Urban,0
51583,65,Female,Premium,Hatchback,Minor,85009,152989,No,No,3,37,Urban,0
55708,72,Female,Basic,Truck,Minor,47712,539423,Yes,No,1,31,Rural,0
51771,25,Female,Premium,SUV,Major,19847,26735,No,Yes,1,25,Rural,0
56942,50,Male,Basic,Sedan,Total Loss,58304,274730,No,No,5,17,Rural,0
57399,23,Female,Premium,Hatchback,Minor,78479,522199,Yes,No,2,59,Rural,0
55667,66,Male,Gold,Sedan,Minor,44107,200339,Yes,No,5,52,Rural,0
50299,56,Male,Gold,Sedan,Total Loss,18264,398443,Yes,No,5,47,Urban,0
55755,57,Male,Gold,Truck,Major,19220,580396,No,No,2,26,Rural,0
57178,45,Female,Basic,Hatchback,Major,85822,40224,Yes,No,4,29,Rural,0
54617,25,Male,Gold,Sedan,Major,75424,275089,No,No,0,19,Urban,0
52176,44,Female,Premium,Hatchback,Total Loss,37625,70945,No,No,4,21,Urban,0
50458,46,Male,Premium,SUV,Major,56184,479763,No,No,1,3,Urban,0
54612,55,Female,Gold,Hatchback,Total Loss,15141,554350,Yes,No,5,57,Rural,0
55767,46,Female,Gold,Sedan,Major,27855,539295,No,Yes,1,25,Rural,0
53885,55,Female,Gold,Sedan,Major,73219,544688,Yes,No,1,28,Urban,0
50760,69,Male,Premium,Hatchback,Major,47425,281802,Yes,Yes,0,28,Rural,0
51374,40,Male,Basic,Sedan,Major,16401,268479,Yes,Yes,2,15,Urban,0
54028,18,Male,Gold,Hatchback,Major,24027,411514,No,Yes,3,43,Urban,0
53194,32,Female,Gold,Hatchback,Major,76855,97889,Yes,No,5,46,Urban,0
55520,73,Female,Premium,Sedan,Major,66720,595153,Yes,No,5,19,Rural,0
54967,23,Female,Premium,Truck,Major,61233,169328,No,No,2,35,Rural,0
50717,40,Female,Gold,Truck,Minor,73217,481337,Yes,No,5,21,Rural,0
54972,51,Female,Premium,Hatchback,Major,53056,16290,No,Yes,4,12,Urban,0
53813,50,Male,Basic,Sedan,Major,45285,434598,Yes,No,2,9,Rural,0
57452,65,Female,Premium,Hatchback,Total Loss,80066,74936,Yes,Yes,4,48,Rural,0
55757,59,Female,Premium,Truck,Total Loss,37554,449070,Yes,No,3,37,Urban,0
50924,26,Male,Gold,Hatchback,Major,89501,185279,No,No,2,3,Rural,0
55133,64,Female,Basic,Sedan,Major,87341,384532,Yes,No,5,45,Urban,0
55442,47,Male,Premium,Truck,Total Loss,44235,526105,Yes,No,2,34,Rural,0
56864,19,Male,Premium,SUV,Minor,49830,68356,No,No,1,34,Urban,0
51936,71,Female,Premium,Hatchback,Total Loss,52464,393694,Yes,Yes,5,48,Rural,0
55338,35,Male,Premium,Truck,Minor,18754,480007,Yes,No,0,29,Urban,0
57892,50,Female,Premium,Sedan,Major,36930,9379,No,No,5,25,Rural,0
51401,48,Male,Basic,Hatchback,Major,80191,202329,No,Yes,2,49,Rural,0
53645,56,Male,Basic,Sedan,Minor,42500,521247,No,No,2,4,Rural,0
54416,31,Female,Gold,Truck,Minor,63364,141802,No,Yes,2,41,Rural,0
56159,43,Female,Premium,Truck,Total Loss,32633,12353,Yes,Yes,5,22,Urban,0
51852,35,Female,Gold,Hatchback,Total Loss,43536,477541,Yes,No,0,14,Urban,0
57347,34,Female,Premium,Sedan,Major,32019,216820,No,Yes,4,19,Rural,0
52276,63,Female,Premium,SUV,Minor,80101,479427,No,No,1,52,Urban,0
53976,26,Female,Basic,Truck,Total Loss,50158,307567,Yes,Yes,4,28,Urban,0
53780,43,Female,Gold,Hatchback,Major,20830,31770,Yes,Yes,1,2,Urban,0
56111,71,Female,Premium,SUV,Total Loss,64874,307567,No,Yes,3,34,Rural,0
53652,27,Male,Gold,SUV,Major,67790,294321,No,Yes,1,23,Urban,0
55903,61,Male,Basic,Hatchback,Total Loss,39475,220296,No,Yes,4,20,Rural,0
51354,29,Male,Gold,SUV,Major,63250,572276,Yes,No,1,23,Urban,0
53306,38,Male,Basic,Sedan,Minor,45926,319015,No,Yes,5,44,Urban,0
53275,47,Male,Gold,SUV,Major,64884,392437,No,Yes,5,55,Urban,0
56221,29,Male,Premium,Sedan,Total Loss,41399,203387,No,No,3,34,Urban,0
50970,51,Female,Gold,SUV,Total Loss,49281,9677,Yes,No,1,54,Rural,0
56478,70,Female,Basic,Truck,Total Loss,80007,155029,Yes,No,5,48,Urban,0
54970,68,Male,Basic,Sedan,Major,71360,407272,Yes,Yes,4,18,Urban,0
57030,60,Female,Basic,Truck,Minor,19423,428994,No,No,1,57,Urban,0
53766,21,Male,Gold,Truck,Major,41354,571371,No,No,4,24,Urban,0
52654,22,Female,Basic,Truck,Total Loss,44921,204865,Yes,Yes,5,7,Urban,0
53224,53,Male,Premium,Hatchback,Major,70378,450155,No,No,4,4,Rural,0
56623,66,Male,Basic,Sedan,Total Loss,58720,323725,Yes,No,4,59,Urban,0
53384,73,Male,Gold,Sedan,Total Loss,85457,379463,Yes,No,1,19,Rural,0
55010,38,Female,Gold,Hatchback,Minor,57203,129947,No,No,5,24,Urban,0
51496,66,Female,Premium,Hatchback,Major,22644,380606,No,Yes,0,19,Rural,0
53590,38,Male,Basic,Sedan,Minor,60534,578890,No,Yes,5,24,Urban,0
50102,70,Male,Basic,Sedan,Minor,74430,311095,Yes,No,4,57,Urban,0
53271,73,Female,Basic,Sedan,Total Loss,88866,580437,Yes,Yes,0,28,Rural,0
55468,39,Male,Gold,Sedan,Major,77766,546301,Yes,No,3,7,Urban,0
57280,31,Female,Basic,SUV,Major,57073,27706,Yes,No,0,2,Rural,0
52959,35,Male,Basic,Hatchback,Major,81175,545248,Yes,Yes,3,1,Urban,0
56348,72,Female,Basic,Sedan,Total Loss,58743,81656,Yes,Yes,1,5,Rural,0
51254,29,Male,Premium,SUV,Total Loss,84986,314415,Yes,Yes,5,57,Rural,0
55421,55,Female,Gold,SUV,Minor,60849,12489,No,Yes,2,17,Rural,0
56262,56,Male,Basic,SUV,Total Loss,89519,317249,No,No,1,15,Urban,0
50100,35,Male,Premium,SUV,Major,49880,456064,Yes,Yes,5,34,Rural,0
56571,53,Female,Basic,Truck,Minor,47601,390459,No,Yes,3,7,Urban,0
52646,19,Female,Premium,Sedan,Minor,87022,195934,No,No,0,45,Urban,0
52826,53,Male,Premium,Sedan,Total Loss,49282,538300,Yes,No,1,47,Urban,0
50930,21,Female,Premium,SUV,Major,88250,399997,Yes,Yes,2,55,Urban,0
51413,63,Male,Gold,Hatchback,Major,81313,553813,Yes,Yes,1,39,Rural,0
54861,58,Male,Basic,SUV,Major,31696,86772,Yes,No,1,27,Rural,0
50027,38,Male,Gold,SUV,Total Loss,61132,549021,No,Yes,4,1,Urban,0
54418,35,Female,Premium,Sedan,Total Loss,52464,322558,Yes,No,4,57,Urban,0
53900,43,Female,Gold,Truck,Major,71401,27319,Yes,Yes,4,26,Rural,0
55718,71,Male,Premium,Sedan,Minor,50297,380406,Yes,No,5,43,Urban,0
53419,33,Female,Basic,Sedan,Major,70034,50972,No,Yes,5,9,Urban,0
53326,40,Male,Premium,Hatchback,Major,56166,465751,No,No,0,16,Rural,0
52472,66,Female,Gold,Sedan,Minor,65203,1274754,No,No,5,13,Urban,0
54315,66,Female,Gold,Hatchback,Major,42364,379611,No,No,1,33,Rural,0
51643,54,Male,Basic,Hatchback,Total Loss,57521,524020,Yes,Yes,0,53,Rural,0
57998,20,Male,Gold,Truck,Major,46995,119012,Yes,,0,59,Urban,0
56792,64,Female,Basic,Hatchback,Total Loss,43975,423205,Yes,No,2,3,Urban,0
52315,28,Female,Premium,SUV,Total Loss,52464,13267,No,Yes,1,55,Rural,0
53302,30,Female,Basic,SUV,Major,77782,80012,No,No,3,29,Rural,0
54437,25,Female,Premium,Hatchback,Minor,29133,388016,Yes,Yes,2,54,Urban,0
50726,48,Male,Basic,SUV,Total Loss,18794,579941,Yes,Yes,3,46,Rural,0
50294,24,Male,Basic,Sedan,Major,16363,329326,Yes,No,4,53,Urban,0
57647,41,Female,Premium,Hatchback,Minor,28989,385331,Yes,Yes,1,30,Urban,0
53296,39,Female,Basic,Hatchback,Major,77421,202809,Yes,Yes,1,49,Urban,0
57576,44,Female,Premium,Sedan,Major,28153,207089,Yes,No,4,7,Urban,0
54511,31,Female,Basic,Sedan,Minor,64390,330324,Yes,No,5,33,Urban,0
54305,69,Female,Basic,Sedan,Major,52464,526134,No,Yes,4,58,Urban,0
55674,26,Male,Premium,Truck,Minor,69354,570987,Yes,Yes,1,47,Urban,0
51046,63,Female,Basic,Truck,Total Loss,79010,494576,Yes,Yes,1,46,Urban,0
55346,28,Female,Premium,Truck,Major,81795,472707,Yes,Yes,0,9,Urban,0
57701,19,Male,Gold,Truck,Minor,53910,13632,No,No,1,34,Urban,0
56181,43,Female,Basic,Hatchback,Total Loss,26070,312162,Yes,Yes,1,57,Rural,0
54596,35,Male,Gold,SUV,Major,36993,377842,Yes,No,5,11,Urban,0
50046,54,Male,Basic,Hatchback,Minor,83618,374738,Yes,Yes,3,3,Urban,0
55134,41,Male,Premium,Sedan,Major,18157,548476,No,No,2,8,Rural,0
53125,35,Male,Gold,Hatchback,Minor,20640,573645,Yes,No,5,19,Urban,0
56802,74,Male,Basic,Truck,Minor,38347,279311,No,Yes,5,59,Rural,0
57990,74,Female,Gold,Truck,Major,63843,275929,No,Yes,3,34,Rural,0
52760,44,Female,Basic,Sedan,Major,64884,416286,Yes,No,3,3,Rural,0
54730,61,Female,Gold,SUV,Minor,54102,185566,No,Yes,2,8,Rural,0
54502,31,Female,Gold,Sedan,Major,33540,307567,No,Yes,5,20,Urban,0
54014,45,Male,Gold,SUV,Total Loss,63669,1369758,Yes,Yes,5,51,Urban,0
51145,54,Female,Basic,SUV,Major,82517,336451,Yes,No,4,8,Rural,0
53524,63,Male,Premium,Truck,Minor,50702,538058,No,Yes,2,53,Urban,0
57392,70,Male,Premium,SUV,Total Loss,52464,221421,No,Yes,3,4,Rural,0
50202,28,Female,Gold,Truck,Total Loss,59420,106872,Yes,Yes,0,55,Rural,0
57530,71,Female,Premium,Sedan,Minor,54802,560521,No,Yes,1,26,Urban,0
50540,49,Male,Premium,SUV,Total Loss,38097,13337,No,Yes,4,11,Urban,0
54161,74,Female,Premium,SUV,Minor,68274,536818,No,No,3,7,Rural,0
52280,59,Male,Basic,Hatchback,Minor,17153,590763,No,No,5,11,Urban,0
52766,53,Male,Basic,Truck,Total Loss,64127,570321,Yes,No,5,31,Urban,0
54626,74,Female,Premium,Sedan,Minor,69688,219401,No,Yes,2,24,Rural,0
52155,33,Male,Basic,Truck,Major,88167,397426,No,No,4,36,Urban,0
53304,19,Male,Premium,Truck,Minor,52464,176134,No,No,0,17,Rural,0
56426,32,Female,Premium,Sedan,Minor,76654,485032,Yes,No,1,42,Rural,0
53122,51,Female,Premium,Hatchback,Total Loss,15819,59377,No,Yes,0,12,Urban,0
57454,68,Female,Basic,SUV,Major,33165,292488,No,Yes,4,26,Urban,0
51761,36,Male,Basic,Sedan,Major,39209,278115,No,Yes,4,36,Urban,0
53758,18,Female,Premium,Truck,Total Loss,29352,307567,Yes,No,1,52,Rural,0
56079,60,Male,Basic,SUV,Minor,51481,370354,Yes,No,2,25,Urban,0
56597,33,Male,Basic,Sedan,Total Loss,69860,9017,Yes,No,1,55,Rural,0
57431,70,Female,Gold,Truck,Total Loss,84005,119831,No,No,2,30,Rural,0
50108,46,Female,Gold,Truck,Minor,30797,373594,Yes,Yes,1,17,Urban,0
50928,62,Female,Premium,SUV,Major,60652,413948,Yes,Yes,0,30,Urban,0
57912,52,Male,Premium,Hatchback,Minor,86512,205603,Yes,Yes,3,23,Urban,0
56467,72,Female,Basic,SUV,Total Loss,52464,230445,No,Yes,5,42,Rural,0
53849,18,Male,Basic,Hatchback,Total Loss,36024,430281,Yes,No,0,40,Rural,0
56867,73,Male,Basic,Sedan,Minor,81004,74049,No,No,2,4,Rural,0
50333,33,Female,Premium,SUV,Minor,25748,402687,Yes,Yes,0,37,Rural,0
52993,31,Male,Basic,Sedan,Major,16837,82934,No,Yes,5,17,Rural,0
50463,67,Female,Basic,Hatchback,Total Loss,61996,599380,Yes,No,4,53,Urban,0
52036,68,Male,Basic,Truck,Major,70337,7422,No,Yes,4,34,Rural,0
52727,73,Female,Gold,Truck,Total Loss,87551,307567,No,Yes,5,40,Urban,0
51835,42,Female,Premium,Hatchback,Total Loss,41948,307567,Yes,Yes,4,48,Urban,0
55530,57,Male,Basic,SUV,Minor,30231,447501,Yes,No,2,5,Rural,0
50710,52,Female,Basic,Sedan,Minor,22787,20860,No,No,2,23,Urban,0
55244,23,Female,Basic,Truck,Minor,40902,93283,No,Yes,2,42,Urban,0
50350,65,Male,Gold,SUV,Major,52464,2117052,Yes,Yes,4,16,Urban,0
57881,72,Female,Gold,Hatchback,Minor,64592,266195,No,No,3,25,Rural,0
52829,50,Female,Premium,SUV,Major,17883,222522,Yes,No,5,16,Urban,0
52901,37,Female,Gold,Truck,Total Loss,52988,386565,Yes,Yes,0,56,Urban,0
51748,36,Male,Gold,SUV,Minor,89116,339700,No,Yes,1,59,Rural,0
55366,22,Female,Basic,SUV,Minor,52464,224546,No,No,4,7,Urban,0
57435,36,Female,Gold,Sedan,Total Loss,58831,69660,No,No,5,56,Urban,0
51019,21,Female,Gold,Hatchback,Major,78578,307567,Yes,No,1,38,Urban,0
52446,31,Female,Gold,Truck,Major,35063,517224,No,No,3,51,Urban,0
56490,52,Female,Basic,SUV,Minor,21493,229541,Yes,No,5,34,Rural,0
57022,25,Female,Basic,SUV,Major,81454,129679,Yes,No,5,39,Urban,0
56271,39,Male,Basic,SUV,Major,45238,538435,Yes,Yes,0,45,Urban,0
57106,64,Male,Premium,Hatchback,Minor,52464,226759,No,No,5,7,Urban,0
57637,24,Male,Premium,SUV,Total Loss,68705,43923,Yes,No,0,40,Urban,0
55691,47,Female,Premium,Hatchback,Major,48637,211167,No,No,1,25,Rural,0
56667,41,Male,Premium,Truck,Minor,33175,328326,Yes,Yes,2,37,Urban,0
54075,58,Female,Gold,SUV,Total Loss,71173,363896,Yes,No,3,58,Urban,0
57373,37,Male,Gold,SUV,Total Loss,77114,470973,No,No,2,48,Urban,0
52725,59,Male,Premium,Sedan,Total Loss,85204,464699,Yes,Yes,5,2,Rural,0
52111,24,Female,Premium,Truck,Minor,25924,307567,Yes,Yes,2,12,Urban,0
56953,69,Male,Gold,Sedan,Minor,31651,252137,No,Yes,4,29,Urban,0
54059,55,Female,Basic,Hatchback,Minor,75737,406282,No,Yes,0,30,Rural,0
50517,33,Female,Premium,Truck,Total Loss,36123,354961,No,Yes,0,29,Urban,0
52272,19,Male,Basic,Hatchback,Major,21486,570259,No,Yes,2,47,Urban,0
56050,70,Male,Basic,Truck,Major,31175,481688,No,Yes,0,30,Rural,0
50120,28,Male,Gold,Sedan,Total Loss,52464,356513,No,No,0,53,Rural,0
57217,30,Male,Premium,Sedan,Total Loss,82837,26266,Yes,Yes,1,16,Rural,0
55266,64,Female,Basic,SUV,Total Loss,83207,307567,Yes,Yes,1,43,Rural,0
50993,34,Male,Premium,Hatchback,Major,42277,528509,No,No,1,51,Rural,0
57976,37,Male,Basic,Sedan,Total Loss,56108,247168,No,Yes,5,22,Urban,0
57259,44,Female,Gold,SUV,Minor,57001,9693,No,No,0,21,Urban,0
54683,54,Male,Gold,Truck,Minor,46110,370866,No,No,5,28,Urban,0
52734,18,Male,Basic,Hatchback,Total Loss,47837,528322,No,Yes,2,4,Urban,0
52475,61,Male,Basic,SUV,Total Loss,33757,402190,Yes,Yes,1,16,Urban,0
56055,31,Female,Basic,SUV,Major,87335,267747,Yes,No,5,17,Urban,0
56638,40,Female,Basic,Hatchback,Total Loss,49487,146172,Yes,Yes,5,7,Rural,0
54739,38,Male,Premium,Hatchback,Major,82330,2822394,No,No,1,45,Rural,0
57189,28,Male,Premium,Hatchback,Total Loss,77083,224012,No,No,1,47,Rural,0
51353,21,Female,Basic,SUV,Major,52464,466355,Yes,No,4,59,Urban,0
56323,72,Female,Basic,Hatchback,Major,35753,130527,No,Yes,1,5,Urban,0
50611,67,Male,Premium,Hatchback,Major,76161,265964,No,Yes,4,30,Rural,0
52284,57,Female,Gold,SUV,Minor,43283,87159,No,Yes,1,27,Rural,0
55186,67,Female,Gold,SUV,Total Loss,79092,226975,No,No,0,7,Urban,0
53495,36,Male,Basic,Sedan,Major,65111,339107,Yes,No,4,32,Rural,0
50905,23,Female,Basic,SUV,Minor,58463,260297,No,Yes,2,30,Urban,0
50739,34,Male,Basic,Truck,Minor,37622,406590,Yes,No,2,43,Rural,0
53491,34,Male,Basic,Hatchback,Major,60192,31156,Yes,Yes,1,39,Rural,0
50241,66,Female,Gold,Truck,Minor,52464,265520,Yes,Yes,5,29,Urban,0
53451,50,Female,Premium,Truck,Minor,40539,598120,No,Yes,2,36,Urban,0
51360,68,Male,Premium,Truck,Total Loss,32757,226554,Yes,Yes,1,51,Urban,0
51815,41,Female,Basic,Truck,Major,53658,307567,No,Yes,5,5,Rural,0
53505,66,Male,Gold,SUV,Total Loss,22235,240249,No,Yes,0,56,Urban,0
56462,60,Female,Gold,Sedan,Total Loss,34628,31920,Yes,Yes,2,18,Rural,0
51418,53,Female,Premium,Hatchback,Major,81881,291933,Yes,Yes,5,51,Rural,0
53792,74,Female,Premium,SUV,Major,52970,272130,Yes,No,4,2,Urban,0
50283,33,Male,Basic,Truck,Total Loss,86868,254212,No,No,1,29,Urban,0
57471,69,Male,Premium,Sedan,Minor,76717,175611,No,Yes,1,1,Rural,0
57446,30,Female,Basic,Sedan,Minor,47979,428682,Yes,Yes,0,59,Rural,0
50080,71,Male,Gold,Truck,Total Loss,74126,350344,Yes,Yes,2,57,Urban,0
51265,31,Female,Premium,Hatchback,Total Loss,64031,94248,No,Yes,5,35,Rural,0
55699,30,Female,Premium,SUV,Minor,47199,5699,Yes,No,3,15,Rural,0
50203,72,Male,Basic,Truck,Major,19061,491253,Yes,No,1,41,Rural,0
53388,64,Female,Gold,Sedan,Major,47759,11251,Yes,No,5,32,Rural,0
55017,65,Female,Basic,SUV,Minor,32007,565821,Yes,Yes,3,13,Urban,0
52248,32,Male,Basic,Sedan,Total Loss,52464,371699,Yes,No,3,48,Urban,0
57965,62,Male,Premium,Hatchback,Total Loss,80539,333903,Yes,Yes,2,52,Rural,0
54541,73,Male,Gold,SUV,Minor,17412,457273,Yes,No,2,33,Urban,0
52484,31,Male,Gold,Truck,Total Loss,52464,307567,No,No,5,11,Rural,0
56660,32,Male,Premium,Hatchback,Major,15318,3575166,Yes,No,0,20,Rural,0
56832,49,Female,Premium,Sedan,Minor,43371,305435,No,No,1,31,Urban,0
56093,68,Male,Premium,Truck,Minor,86646,545962,Yes,Yes,0,59,Urban,0
53002,58,Female,Gold,Truck,Total Loss,49356,173140,Yes,No,5,43,Rural,0
50786,58,Female,Basic,Hatchback,Minor,26973,417546,No,Yes,4,35,Rural,0
56563,66,Female,Premium,Sedan,Minor,32519,543625,Yes,No,1,5,Urban,0
57411,37,Female,Gold,Hatchback,Major,60133,299232,Yes,No,1,9,Urban,0
50037,33,Male,Basic,Sedan,Total Loss,27093,361139,Yes,No,0,14,Rural,0
50744,57,Female,Premium,Truck,Minor,65873,351913,Yes,No,3,21,Urban,0
52423,56,Male,Basic,Hatchback,Minor,16593,201215,No,Yes,0,59,Rural,0
53441,48,Female,Basic,Sedan,Minor,56063,419943,No,Yes,1,47,Urban,0
50528,43,Female,Gold,SUV,Minor,67652,491010,Yes,No,5,32,Rural,0
51336,50,Male,Gold,Hatchback,Minor,75631,202234,Yes,Yes,5,33,Urban,0
50231,41,Male,Gold,Hatchback,Minor,38925,307567,Yes,Yes,2,32,Rural,0
57076,19,Female,Basic,Truck,Total Loss,23190,832566,Yes,Yes,2,34,Rural,0
54131,50,Female,Premium,Hatchback,Minor,19808,421334,No,Yes,5,34,Urban,0
57875,61,Female,Premium,SUV,Total Loss,37737,393077,No,No,2,51,Rural,0
55307,30,Male,Gold,SUV,Total Loss,48217,261354,No,No,5,8,Urban,0
57761,25,Female,Gold,Truck,Total Loss,82375,154207,No,No,3,30,Rural,0
50819,66,Female,Basic,Truck,Major,81783,307567,No,No,1,36,Urban,0
55529,62,Female,Premium,Sedan,Minor,83322,554767,Yes,No,5,3,Rural,0
54036,34,Female,Premium,Hatchback,Total Loss,74843,214389,Yes,No,1,52,Rural,0
53731,67,Male,Basic,SUV,Major,35845,418769,No,Yes,4,39,Rural,0
57429,69,Male,Premium,Hatchback,Total Loss,57059,167282,No,Yes,2,12,Urban,0
57522,40,Male,Basic,Hatchback,Minor,44989,398431,Yes,Yes,0,57,Rural,0
53380,68,Male,Premium,Truck,Total Loss,49398,253588,No,No,3,15,Urban,0
54931,25,Male,Premium,Sedan,Minor,44623,338121,Yes,Yes,2,45,Urban,0
57798,65,Male,Premium,Hatchback,Minor,53941,500892,No,Yes,0,38,Rural,0
56600,48,Male,Gold,Truck,Minor,87483,105093,No,No,2,42,Rural,0
53063,57,Female,Premium,Hatchback,Total Loss,23872,227183,Yes,No,0,30,Rural,0
55190,65,Male,Gold,Sedan,Major,74085,2090670,Yes,No,2,11,Rural,0
50625,61,Female,Basic,Hatchback,Minor,86710,498881,Yes,Yes,5,50,Rural,0
56239,27,Female,Premium,Hatchback,Minor,21041,374587,No,Yes,4,4,Rural,0
50820,31,Male,Gold,SUV,Major,39564,269601,No,No,2,40,Rural,0
56436,25,Male,Basic,Hatchback,Minor,85719,72011,No,No,0,14,Urban,0
54189,66,Female,Premium,SUV,Total Loss,73433,553530,No,No,3,27,Rural,0
53891,36,Male,Premium,SUV,Total Loss,61000,86798,Yes,No,0,26,Urban,0
55710,38,Male,Gold,Hatchback,Minor,27704,529949,Yes,Yes,2,19,Rural,0
53211,65,Female,Premium,SUV,Total Loss,38103,583982,Yes,Yes,1,52,Urban,0
54212,20,Male,Gold,SUV,Major,73852,476977,No,No,0,24,Rural,0
56158,73,Female,Basic,Sedan,Total Loss,19650,134663,No,Yes,2,25,Urban,0
52837,56,Female,Basic,SUV,Major,43788,358266,No,Yes,3,36,Urban,0
54817,24,Male,Basic,SUV,Major,59185,307567,Yes,No,2,56,Rural,0
56449,71,Female,Basic,Truck,Minor,52464,368537,Yes,No,0,32,Rural,0
51590,64,Female,Premium,Sedan,Major,49293,307567,Yes,Yes,4,50,Urban,0
53040,19,Female,Premium,Sedan,Major,39787,350397,Yes,Yes,0,49,Rural,0
53918,26,Male,Gold,Hatchback,Minor,62136,307567,No,Yes,1,29,Urban,0
57920,38,Female,Premium,Truck,Major,89081,487026,Yes,No,0,27,Urban,0
55731,51,Male,Premium,Sedan,Minor,21401,490909,Yes,Yes,1,17,Rural,0
51861,46,Male,Gold,Truck,Minor,22508,323680,No,No,5,33,Rural,0
51871,47,Female,Gold,SUV,Major,44654,92629,Yes,Yes,3,21,Rural,0
53177,60,Female,Gold,SUV,Minor,15408,454029,No,No,3,2,Rural,0
57231,60,Male,Gold,Sedan,Minor,60915,349335,No,Yes,0,42,Urban,0
54539,40,Female,Gold,Truck,Major,29628,396046,No,Yes,4,34,Urban,0
53739,25,Male,Gold,Truck,Total Loss,37949,322907,No,Yes,1,57,Urban,0
55664,53,Male,Basic,Truck,Total Loss,60057,307567,Yes,Yes,1,8,Rural,0
53161,34,Female,Basic,SUV,Major,48227,445499,Yes,Yes,4,32,Urban,0
52709,30,Male,Premium,Sedan,Major,32279,101155,No,Yes,5,58,Rural,0
